number,categoryId,nameEl,nameEn,nameZh,price,spicyLevel
1,soups,Σούπα καυτερή και ξινή,Hot and sour soup,酸辣汤,4.90,2
2,soups,Σούπα κοτόπουλο - καλαμπόκι,Chicken corn soup,鸡肉玉米汤,4.90,
3,soups,Σούπα με WonTon (χοιρινό & γαρίδα),WonTon soup (pork & shrimp),云吞汤（猪肉虾）,5.90,
4,soups,Σούπα με dumplings γαρίδας,Shrimp dumpling soup,虾饺汤,6.90,
5,soups,Σούπα με θαλασσινά,Seafood soup,海鲜汤,5.90,
6,soups,Σούπα με φασόλια,Tofu soup,豆腐汤,4.50,
7,soups,Σούπα με λαχανικά,Vegetable soup,蔬菜汤,4.50,
8,soups,Σούπα με ντομάτα & αυγό,Egg and tomato soup,番茄蛋汤,4.50,
27,salads,Κινέζικη σαλάτα,Chinese salad,中式沙拉,8.90,
28,salads,Γλυκόξινη σαλάτα,Sweet & sour salad,甜酸沙拉,8.90,
29,salads,Σπέσιαλ σαλάτα Wok Dragon,Special Wok Dragon salad,龙城酒楼招牌沙拉,9.90,
10,appetizers,Ανοιξιάτικα ρολά λαχανικών,Spring rolls (vegetables),蔬菜春卷,3.90,
11,appetizers,Τηγανητά WonTon,Fried WonTon,炸云吞,3.90,
12,appetizers,Ρολά γαρίδας,Shrimp rolls,虾卷,4.90,
13,appetizers,Πιτάκια με πάπια,Pancakes with duck,鸭肉薄饼,7.90,
14,appetizers,Κράκερ γαρίδας,Prawn crackers,虾片,3.00,
15,appetizers,Τηγανητό τόστ γαρίδας,Fried prawn toast,炸虾多士,5.90,
16,appetizers,Τηγανητές φτερούγες κοτόπουλου,Fried chicken wings,炸鸡翅,4.30,
17,appetizers,Τηγανητές γαρίδες με σουσάμι,Fried shrimps with sesame,芝麻炸虾,7.30,
18,appetizers,Γλυκόξινα χοιρινά παϊδάκια,Sweet and sour pork spare ribs,甜酸猪排骨,7.30,
19,appetizers,Χοιρινά παϊδάκια με αλάτι & πιπέρι,Pork spare ribs with salt & pepper,椒盐猪排骨,7.30,
20,appetizers,Χοιρινά παϊδάκια με ζάχαρη & ξύδι,Pork spare ribs with sugar & vinegar,糖醋猪排骨,7.30,
21,appetizers,Τηγανητά dumplings με χοιρινό,Fried dumplings with pork,猪肉煎饺,9.90,
22,appetizers,Dumplings ατμού με γαρίδες,Steamed shrimp dumplings,蒸虾饺,6.90,
23,appetizers,Xia long bao ατμού με χοιρινό,Steamed Xia long bao with pork,猪肉小笼包,6.90,
24,appetizers,Κινέζικο ψωμάκι,Steamed bread,中式馒头,3.00,
25,appetizers,Γαρίδες τεμπούρα,Shrimp tempura,天妇罗虾,7.30,
30,soup-noodles,Σούπα με θαλασσινά & noodles,Seafood noodle soup,海鲜汤面,14.90,
31,soup-noodles,Σούπα με μοσχάρι (goulash) & noodles,Beef (goulash) noodle soup,牛腩汤面,14.90,
32,soup-noodles,Σούπα με WonTon & noodles,WonTon noodle soup,云吞汤面,14.90,
33,soup-noodles,Σούπα Dumplings γαρίδας & noodles,Shrimp dumplings noodle soup,虾饺汤面,15.90,
34,soup-noodles,Σούπα με πάπια ψητή & noodles,Roasted duck noodle soup,烧鸭汤面,16.50,
35,soup-noodles,Σούπα με ψητό χοιρινό & noodles,Tja Siew pork noodle soup,叉烧汤面,14.90,
36,soup-noodles,Σούπα με ξεροψημένο χοιρινό & noodles,Crispy pork noodle soup,脆皮猪肉汤面,14.90,
37,soup-noodles,Σούπα με θαλασσινά & noodles ρυζιού,Seafood rice noodle soup,海鲜汤米粉,14.90,
38,soup-noodles,Σούπα με μοσχάρι (goulash) & noodles ρυζιού,Beef (goulash) rice noodle soup,牛腩汤米粉,14.90,
39,soup-noodles,Σούπα WonTon & noodles ρυζιού,WonTon rice noodle soup,云吞汤米粉,14.90,
40,soup-noodles,Σούπα Dumplings γαρίδας & noodles ρυζιού,Shrimp dumplings rice noodle soup,虾饺汤米粉,14.90,
41,soup-noodles,Σούπα με λαχανικά & noodles / noodles ρυζιού,Vegetable noodle / rice noodle soup,蔬菜汤面 / 汤米粉,11.90,
42,soup-noodles,Σούπα κοτόπουλο & noodles / noodles ρυζιού,Chicken noodle / rice noodle soup,鸡肉汤面 / 汤米粉,12.90,
45,fried-noodles,Τηγανητά noodle με αυγό,Fried noodle with egg,鸡蛋炒面,8.90,
46,fried-noodles,Τηγανητά noodle με μοσχάρι,Fried noodle with beef,牛肉炒面,11.50,
47,fried-noodles,Τηγανητά noodle με λαχανικά,Fried noodle with vegetables,蔬菜炒面,9.90,
48,fried-noodles,Τηγανητά noodle με πάπια,Fried noodle with duck,鸭肉炒面,11.90,
49,fried-noodles,Τηγανητά noodle με κοτόπουλο,Fried noodle with chicken,鸡肉炒面,10.90,
50,fried-noodles,Τηγανητά noodle με χοιρινό,Fried noodle with pork,猪肉炒面,10.90,
51,fried-noodles,Τηγανητά noodle με θαλασσινά,Fried noodle with seafood,海鲜炒面,12.90,
52,fried-noodles,Τηγανητά noodle με γαρίδες,Fried noodle with shrimps,虾仁炒面,13.50,
53,fried-noodles,Τηγανητά noodle με καλαμάρι,Fried noodle with squid,鱿鱼炒面,12.90,
54,fried-noodles,Τηγανητά noodle Σιγκαπούρη,Fried noodle Singapore,星洲炒面,12.50,
60,fried-noodles,Τηγανητά noodle ρυζιού με αυγό,Fried rice noodle with egg,鸡蛋炒米粉,9.50,
61,fried-noodles,Τηγανητά noodle ρυζιού με μοσχάρι,Fried rice noodle with beef,牛肉炒米粉,12.00,
62,fried-noodles,Τηγανητά noodles ρυζιού με λαχανικά,Fried rice noodle with vegetables,蔬菜炒米粉,10.50,
63,fried-noodles,Τηγανητά noodles ρυζιού με πάπια,Fried rice noodle with duck,鸭肉炒米粉,12.50,
64,fried-noodles,Τηγανητά noodle ρυζιού με κοτόπουλο,Fried rice noodle with chicken,鸡肉炒米粉,11.50,
65,fried-noodles,Τηγανητά noodle ρυζιού με χοιρινό,Fried rice noodle with pork,猪肉炒米粉,11.90,
66,fried-noodles,Τηγανητά noodle ρυζιού με θαλασσινά,Fried rice noodle with seafood,海鲜炒米粉,13.50,
67,fried-noodles,Τηγανητά noodle ρυζιού με γαρίδες,Fried rice noodle with shrimps,虾仁炒米粉,13.90,
68,fried-noodles,Τηγανητά noodle ρυζιού με καλαμάρι,Fried rice noodle with squid,鱿鱼炒米粉,13.50,
69,fried-noodles,Τηγανητά noodle ρυζιού Σιγκαπούρη,Fried rice noodle Singapore,星洲炒米粉,12.90,
75,fried-rice,Ρύζι ατμού,Steamed rice,白饭,3.00,
76,fried-rice,Τηγανητό ρύζι με αυγό,Fried rice with egg,鸡蛋炒饭,8.90,
77,fried-rice,Τηγανητό ρύζι με μοσχάρι,Fried rice with beef,牛肉炒饭,11.50,
78,fried-rice,Τηγανητό ρύζι με λαχανικά,Fried rice with vegetables,蔬菜炒饭,9.90,
79,fried-rice,Τηγανητό ρύζι με πάπια,Fried rice with duck,鸭肉炒饭,11.90,
80,fried-rice,Τηγανητό ρύζι με κοτόπουλο,Fried rice with chicken,鸡肉炒饭,10.90,
81,fried-rice,Τηγανητό ρύζι με χοιρινό,Fried rice with pork,猪肉炒饭,10.90,
82,fried-rice,Τηγανητό ρύζι με θαλασσινά,Fried rice with seafood,海鲜炒饭,12.90,
83,fried-rice,Τηγανητό ρύζι με γαρίδες,Fried rice with shrimps,虾仁炒饭,13.50,
84,fried-rice,Τηγανητό ρύζι Yeung Chau,Fried rice Yeung Chau,扬州炒饭,12.50,
90,duck,Πάπια ψητή 1/2,Roasted duck 1/2,烧鸭半只,26.90,
91,duck,Πάπια ψητή με ανανά,Duck with pineapple,菠萝鸭,16.50,
92,duck,Πάπια ψητή με πορτοκάλι,Duck with orange,香橙鸭,16.50,
93,duck,Πάπια ψητή 1/4,Roasted duck 1/4,烧鸭四分之一,14.90,
